# Event-implied properties that resemble an existing field on the same object.
# Registering would mint a near-duplicate. Decide: normalize the event to the
# existing field, or confirm they are genuinely distinct (then register by hand).

access.poa	~ existing access.poa_validated	(from access.poa.presented)
capital.pca_classification	~ existing capital.classification	(from capital.pca_classification.recorded)
capital.plan	~ existing capital.plan_id	(from capital.plan.updated)
capital.quarterly_report	~ existing capital.quarterly_report_due_at	(from capital.quarterly_report.issued)
capital.ratios	~ existing capital.ratios_computed	(from capital.ratios.verified)
capital.stress_report	~ existing capital.stress_report_id	(from capital.stress_report.issued)
capital.target	~ existing capital.projection_below_target	(from capital.target.breached)
cash.coverage_change	~ existing cash.coverage	(from cash.coverage_change.requested)
cash.deviation_board	~ existing cash.deviation	(from cash.deviation_board.decided)
cash.exception	~ existing cash.exception_register.summary	(from cash.exception.logged)
cash.keybox_access	~ existing cash.keybox	(from cash.keybox_access.logged)
cash.kri_month	~ existing cash.kri	(from cash.kri_month.closed)
cash.overshort_anomaly	~ existing cash.overshort	(from cash.overshort_anomaly.detected)
cash.overshort_investigation	~ existing cash.overshort	(from cash.overshort_investigation.opened)
cash.overshort_report	~ existing cash.overshort	(from cash.overshort_report.issued)
cash.recon_day	~ existing cash.recon	(from cash.recon_day.closed)
catalogue.sync	~ existing catalogue.sync_due_at	(from catalogue.sync.completed)
cda.account	~ existing cda.account_789h_mapping	(from cda.account.closed)
cda.agreement	~ existing cda.agreement_strategy_clause	(from cda.agreement.submitted)
cda.board_packet	~ existing cda.board_packet_due_at	(from cda.board_packet.issued)
cda.call_report_cycle	~ existing cda.call_report	(from cda.call_report_cycle.opened)
cda.cap	~ existing cda.cap_cure_due_at	(from cda.cap.certified)
cda.cap_test	~ existing cda.cap_test_due_at	(from cda.cap_test.scheduled)
cda.communication	~ existing cda.communication_draft	(from cda.communication.drafted)
cda.conflict	~ existing cda.conflict_escalation_due_at	(from cda.conflict.escalated)
cda.distribution	~ existing cda.distribution_due_at	(from cda.distribution.proposed)
cda.distribution_window	~ existing cda.distribution_window_alert	(from cda.distribution_window.alert)
cda.funding	~ existing cda.funding_first_line	(from cda.funding.requested)
cda.glossary	~ existing cda.glossary_citation	(from cda.glossary.attested)
cda.inkind_transfer	~ existing cda.inkind_transfer_evaluated	(from cda.inkind_transfer.proposed)
cda.policy	~ existing cda.policy_version	(from cda.policy.expired)
cda.reconciliation	~ existing cda.reconciliation_due_at	(from cda.reconciliation.completed)
cda.remediation	~ existing cda.remediation_owner	(from cda.remediation.closed)
cda.termination	~ existing cda.contract_termination_clause	(from cda.termination.approved)
cda.termination_report	~ existing cda.termination_report_due_at	(from cda.termination_report.issued)
cda.trade	~ existing cda.trade_details	(from cda.trade.proposed)
cda.vendor_contract	~ existing cda.vendor_contract_validated	(from cda.vendor_contract.drafted)
cda.vendor_dd	~ existing cda.vendor_dd_file	(from cda.vendor_dd.completed)
cda.vendor_issue	~ existing cda.vendor_issue_details	(from cda.vendor_issue.flagged)
cda.vendor_review	~ existing cda.vendor_review_due	(from cda.vendor_review.completed)
cfp.investment_test	~ existing cfp.investment_test_due	(from cfp.investment_test.completed)
cfp.transition	~ existing cfp.transition_due_at	(from cfp.transition.started)
change.emergency	~ existing change.emergency_approval_timer	(from change.emergency.deployed)
change.post_review	~ existing change.post_review_due_at	(from change.post_review.completed)
coi.conflict	~ existing coi.conflict_identified	(from coi.conflict.identified)
coi.determination	~ existing coi.determination_made	(from coi.determination.logged)
coi.questionnaire	~ existing coi.questionnaire_responses	(from coi.questionnaire.issued)
coi.recusal	~ existing coi.recusal_noticed	(from coi.recusal.executed)
coi.register_entry	~ existing coi.register_entry_id	(from coi.register_entry.created)
collateral.pledge	~ existing collateral.pledge_schedule	(from collateral.pledge.executed)
collections.board_report	~ existing collections.board_report_due_at	(from collections.board_report.issued)
collections.contact	~ existing collections.contact_channel	(from collections.contact.logged)
collections.policy_breach	~ existing collections.policy_breach_identified	(from collections.policy_breach.logged)
comms.script	~ existing comms.draft_script	(from comms.script.approved)
complaint.final_response	~ existing complaint.final_response_pending	(from complaint.final_response.sent)
complaint.initial_response	~ existing complaint.initial_response_due_at	(from complaint.initial_response.sent)
complaint.investigation	~ existing complaint.investigation_notes	(from complaint.investigation.completed)
complaint.trend	~ existing complaint.trend_review_due	(from complaint.trend.reported)
concentration.waiver	~ existing concentration.waiver_due_at	(from concentration.waiver.opened)
config.drift	~ existing config.drift_detail	(from config.drift.detected)
connection.token	~ existing connection.token_revoked	(from connection.token.issued)
core_archive.retention	~ existing core_archive.retention_config	(from core_archive.retention.confirmed)
credit_box.review	~ existing credit_box.next_review_at	(from credit_box.review.completed)
credit_file.reanalysis	~ existing credit_file.reanalysis_due_at	(from credit_file.reanalysis.completed)
credit_package.retention	~ existing credit_package.retention_expires_at	(from credit_package.retention.started)
crisis.board	~ existing crisis.board_quorum	(from crisis.board.authorized)
crisis.decision	~ existing crisis.decision_detail	(from crisis.decision.proposed)
destruction_log.entry	~ existing destruction_log.entry_id	(from destruction_log.entry.created)
disclosure.account_opening	~ existing disclosure.account_opening_due_at	(from disclosure.account_opening.delivered)
disclosure.basis	~ existing disclosure.classification_basis	(from disclosure.basis.approved)
disclosure.change_in_terms	~ existing disclosure.change_in_terms_due_at	(from disclosure.change_in_terms.approved)
disclosure.classification	~ existing disclosure.classification_basis	(from disclosure.classification.logged)
disclosure.error	~ existing disclosure.error_escalation_due_at	(from disclosure.error.detected)
disclosure.pillar3	~ existing disclosure.pillar3_due_at	(from disclosure.pillar3.published)
disclosure.template	~ existing disclosure.template_retired	(from disclosure.template.published)
dispute.investigation	~ existing dispute.investigation_due_at	(from dispute.investigation.completed)
dispute.provisional_credit	~ existing dispute.provisional_credit_due_at	(from dispute.provisional_credit.posted)
dispute.response	~ existing dispute.response_due_at	(from dispute.response.sent)
dlp.violation	~ existing dlp.violation_detail	(from dlp.violation.detected)
dq.tieout	~ existing dq.tieout_due_at	(from dq.tieout.completed)
dq.variance	~ existing dq.variance_amount	(from dq.variance.detected)
dr.exercise	~ existing dr.exercise_due	(from dr.exercise.completed)
drill.aar	~ existing drill.aar_due_at	(from drill.aar.published)
drill.remediation	~ existing drill.remediation_item	(from drill.remediation.closed)
email_archive.test	~ existing email_archive.test_due	(from email_archive.test.completed)
eps.auth_lockout	~ existing eps.auth	(from eps.auth_lockout.applied)
eps.client_enrollment	~ existing eps.client	(from eps.client_enrollment.requested)
eps.client_limit	~ existing eps.client	(from eps.client_limit.changed)
eps.client_limit_change	~ existing eps.client	(from eps.client_limit_change.requested)
eps.incident_ncua	~ existing eps.incident	(from eps.incident_ncua.notified)
eps.incident_reportable	~ existing eps.incident	(from eps.incident_reportable.determined)
eps.it_audit_report	~ existing eps.it_audit	(from eps.it_audit_report.issued)
eps.product_risk_analysis	~ existing eps.product_risk_analysis.drafted	(from eps.product_risk_analysis.drafted)
eps.service	~ existing eps.risk_assessment_service	(from eps.service.activated)
eps.training_client	~ existing eps.client	(from eps.training_client.delivered)
eps.training_employee_cycle	~ existing eps.training_annual_cycle	(from eps.training_employee_cycle.opened)
eps.vendor_dd_cycle	~ existing eps.vendor_dd	(from eps.vendor_dd_cycle.opened)
estate.benefit	~ existing estate.benefit_received_postmortem	(from estate.benefit.returned)
estate.claim	~ existing estate.claim_documented	(from estate.claim.submitted)
ewi.sweep	~ existing ewi.sweep_due_at	(from ewi.sweep.completed)
ewi.threshold	~ existing ewi.threshold_recovered	(from ewi.threshold.breached)
facility.schedule	~ existing facility.collateral_schedule	(from facility.schedule.updated)
facility.test	~ existing facility.annual_test_due	(from facility.test.completed)
facility.visitor	~ existing facility.visitor_identity	(from facility.visitor.arrived)
fair_lending.assessment	~ existing fair_lending.next_assessment_at	(from fair_lending.assessment.completed)
fair_lending.remediation	~ existing fair_lending.remediation_due_at	(from fair_lending.remediation.opened)
finding.closure	~ existing finding.closure_evidence	(from finding.closure.logged)
finding.monthly_review	~ existing finding.monthly_review_due	(from finding.monthly_review.recorded)
finding.quarterly_report	~ existing finding.quarterly_report_due	(from finding.quarterly_report.delivered)
finding.remediation	~ existing finding.remediation_evidence	(from finding.remediation.reported)
finding.risk_acceptance	~ existing finding.risk_acceptance_package	(from finding.risk_acceptance.proposed)
funding.draw	~ existing funding.draw_order_deviated	(from funding.draw.executed)
funding.first_line	~ existing funding.first_line_due_at	(from funding.first_line.executed)
furnishing.correction	~ existing furnishing.correction_identified	(from furnishing.correction.applied)
furnishing.dispute	~ existing furnishing.dispute_due_at	(from furnishing.dispute.received)
gift.board_report	~ existing gift.board_report_compiled	(from gift.board_report.issued)
gift.record_entry	~ existing gift.record_entry_id	(from gift.record_entry.created)
governance.policy	~ existing governance.policy_review_due	(from governance.policy.approved)
hmda.lar	~ existing hmda.lar_qc_due_at	(from hmda.lar.submitted)
hmda.lar_qc	~ existing hmda.lar_qc_due_at	(from hmda.lar_qc.completed)
incident.assessment	~ existing incident.reportability_assessment	(from incident.assessment.completed)
incident.ic	~ existing incident.ic_assignment_timer	(from incident.ic.assigned)
incident.ncua	~ existing incident.ncua_notice_due_at	(from incident.ncua.notified)
insider.record	~ existing insider.record_circulated	(from insider.record.updated)
instrument_list.review	~ existing instrument_list.review_due_at	(from instrument_list.review.completed)
intermediary.review	~ existing intermediary.review_due_at	(from intermediary.review.completed)
lar.band	~ existing lar.current_band	(from lar.band.changed)
legal.hold	~ existing legal.hold_scope	(from legal.hold.placed)
lending_program.governance	~ existing lending_program.governance_due_at	(from lending_program.governance.mapped)
limit_set.review	~ existing limit_set.review_due_at	(from limit_set.review.completed)
liquidity.capacity_report	~ existing liquidity.report	(from liquidity.capacity_report.issued)
liquidity.cfp	~ existing liquidity.cfp_activation_due_at	(from liquidity.cfp.activated)
lo_comp.plan	~ existing lo_comp.plan_terms	(from lo_comp.plan.submitted)
loan.booking	~ existing loan.booking_block_state	(from loan.booking.requested)
loan.foreclosure	~ existing loan.foreclosure_impact_eval	(from loan.foreclosure.proposed)
loan.fraud	~ existing loan.fraud_chargeoff_due_at	(from loan.fraud.confirmed)
loan.modification	~ existing loan.proposed_modification	(from loan.modification.decided)
loan.nonaccrual	~ existing loan.nonaccrual_placed	(from loan.nonaccrual.triggered)
loan.rating_review	~ existing loan.rating_review_due_at	(from loan.rating_review.completed)
loan.workout	~ existing loan.workout_alternatives	(from loan.workout.requested)
loan_application.atr_qm	~ existing loan_application.atr_qm_result	(from loan_application.atr_qm.completed)
loan_application.counteroffer	~ existing loan_application.counteroffer_status	(from loan_application.counteroffer.expired)
loan_application.incomplete	~ existing loan_application.incomplete_aged	(from loan_application.incomplete.detected)
loan_application.product	~ existing loan_application.product_code	(from loan_application.product.screened)
loan_exception.analytics	~ existing loan_exception.analytics_due	(from loan_exception.analytics.published)
loan_party.ofac	~ existing loan_party.ofac_status	(from loan_party.ofac.screened)
member.delivery	~ existing member.delivery_failure_reason	(from member.delivery.failed)
member.expulsion	~ existing member.expulsion_hearing_held	(from member.expulsion.decided)
member.expulsion_hearing	~ existing member.expulsion_hearing_held	(from member.expulsion_hearing.requested)
member.preferences	~ existing member.preferences_effective	(from member.preferences.updated)
mismatch.breach	~ existing mismatch.breach_magnitude	(from mismatch.breach.dispositioned)
model.review	~ existing model.review_due_at	(from model.review.completed)
monitoring.review	~ existing monitoring.coverage_review_due	(from monitoring.review.completed)
ncua.ack	~ existing ncua.ack_detail	(from ncua.ack.received)
ncua.notification	~ existing ncua.notification_required	(from ncua.notification.sent)
overdraft.fee	~ existing overdraft.fee_schedule	(from overdraft.fee.logged)
overdraft.report	~ existing overdraft.daily_report_generated	(from overdraft.report.reviewed)
overdraft.waiver	~ existing overdraft.waiver_reason	(from overdraft.waiver.requested)
performance.attribution	~ existing performance.attribution_due_at	(from performance.attribution.completed)
policy.acknowledgment	~ existing policy.acknowledgment_due_at	(from policy.acknowledgment.signed)
policy.board	~ existing policy.board_approval_due_at	(from policy.board.approved)
policy.limit	~ existing policy.proposed_limit	(from policy.limit.updated)
policy.review	~ existing policy.board_review	(from policy.review.completed)
policy.review_warning	~ existing policy.review_warning_at	(from policy.review_warning.issued)
policy.version	~ existing policy.document_version	(from policy.version.published)
policy.violation	~ existing policy.violation_description	(from policy.violation.escalated)
portfolio.board_report	~ existing portfolio.board_report_due	(from portfolio.board_report.issued)
portfolio.stress_test	~ existing portfolio.stress_test_due	(from portfolio.stress_test.completed)
position.analytics	~ existing position.analytics_update_due	(from position.analytics.updated)
position.liquidity	~ existing position.liquidity_classification_due	(from position.liquidity.classified)
pricing.exception	~ existing pricing.exception_raised	(from pricing.exception.requested)
pricing.exception_review	~ existing pricing.exception_review_due_at	(from pricing.exception_review.completed)
pricing.override	~ existing pricing.override_rationale	(from pricing.override.requested)
privacy.board_report	~ existing privacy.board_report_due_at	(from privacy.board_report.delivered)
privacy.minor_data	~ existing privacy.minor_data_deleted	(from privacy.minor_data.detected)
privacy.notice	~ existing privacy.annual_notice_due_at	(from privacy.notice.delivered)
privacy.notice_copy	~ existing privacy.notice_copy_due_at	(from privacy.notice_copy.requested)
privacy.notice_template	~ existing privacy.notice_template_id	(from privacy.notice_template.published)
privacy.nv_optout	~ existing privacy.nv_optout_enforced	(from privacy.nv_optout.received)
privacy.optout	~ existing privacy.optout_channel	(from privacy.optout.received)
privacy.state_request	~ existing privacy.state_request_due_at	(from privacy.state_request.received)
rate_sheet.apor	~ existing rate_sheet.apor_values	(from rate_sheet.apor.published)
record.access	~ existing record.access_purpose	(from record.access.logged)
record.audit	~ existing record.audit_entry_written	(from record.audit.opened)
record.destruction	~ existing record.destruction_cycle	(from record.destruction.initiated)
record.hold	~ existing record.hold_matter	(from record.hold.applied)
record.integrity_test	~ existing record.integrity_test_due	(from record.integrity_test.completed)
record.retention	~ existing record.retention_anchor	(from record.retention.expired)
records.board_report	~ existing records.board_report_due_at	(from records.board_report.filed)
records.contact	~ existing records.contact_vacated	(from records.contact.assigned)
records.retention	~ existing records.retention_expiry_at	(from records.retention.applied)
redflag.case	~ existing redflag.case_stats	(from redflag.case.disposed)
redflag.reissue	~ existing redflag.address_reissue_match	(from redflag.reissue.verified)
redflag.stepup	~ existing redflag.stepup_required	(from redflag.stepup.completed)
regulator.request	~ existing regulator.request_detail	(from regulator.request.received)
regulator.response	~ existing regulator.response_due_at	(from regulator.response.sent)
repo.margin_shortfall	~ existing repo.margin_shortfall_amount	(from repo.margin_shortfall.detected)
risk.assessment	~ existing risk.product_assessment_due_at	(from risk.assessment.completed)
risk.poam	~ existing risk.poam_status	(from risk.poam.updated)
risk.product_assessment	~ existing risk.product_assessment_due_at	(from risk.product_assessment.completed)
risk.rating	~ existing risk.residual_rating	(from risk.rating.recorded)
rwa.schedule	~ existing rwa.schedule_version	(from rwa.schedule.approved)
safekeeping.reconciliation	~ existing safekeeping.reconciliation_due_at	(from safekeeping.reconciliation.completed)
schedule_a.entry	~ existing schedule_a.entry_inherited	(from schedule_a.entry.added)
security.board_report	~ existing security.board_report_due_at	(from security.board_report.issued)
security.downgrade	~ existing security.downgrade_review_due_at	(from security.downgrade.reviewed)
security.fair_value	~ existing security.fair_value_update_due	(from security.fair_value.updated)
security.policy	~ existing security.policy_change_log	(from security.policy.approved)
service.first_response	~ existing service.first_response_due_at	(from service.first_response.sent)
service.inquiry	~ existing service.inquiry_id	(from service.inquiry.received)
siem.alert	~ existing siem.alert_confirmed_malicious	(from siem.alert.disposed)
siem.source	~ existing siem.source_inventory	(from siem.source.restored)
socialmedia.impersonation	~ existing socialmedia.impersonation_detail	(from socialmedia.impersonation.detected)
socialmedia.post	~ existing socialmedia.post_content	(from socialmedia.post.drafted)
socialmedia.takedown	~ existing socialmedia.takedown_due_at	(from socialmedia.takedown.escalated)
stress.assumption	~ existing stress.assumption_versioned	(from stress.assumption.changed)
tdr.quarterly_review	~ existing tdr.quarterly_review_due	(from tdr.quarterly_review.completed)
tls.assessment	~ existing tls.assessment_due	(from tls.assessment.completed)
trade.checklist	~ existing trade.checklist_exception_raised	(from trade.checklist.completed)
trade.confirmation	~ existing trade.confirmation_matched	(from trade.confirmation.received)
trade.exception	~ existing trade.exception_raised	(from trade.exception.logged)
trade.intermediary	~ existing trade.intermediary_validated	(from trade.intermediary.blocked)
trade.limit	~ existing trade.limit_blocked	(from trade.limit.checked)
trade.reconciliation	~ existing trade.reconciliation_due_at	(from trade.reconciliation.completed)
trade.sod	~ existing trade.sod_blocked	(from trade.sod.blocked)
trade.step	~ existing trade.step_attempted	(from trade.step.recorded)
training.annual	~ existing training.annual_due_at	(from training.annual.assigned)
training.capital_cycle	~ existing training.capital	(from training.capital_cycle.started)
training.onboarding	~ existing training.onboarding_due_at	(from training.onboarding.completed)
training.refresher	~ existing training.refresher_curriculum	(from training.refresher.completed)
valuation.rov	~ existing valuation.rov_due_at	(from valuation.rov.requested)
vendor.board_report	~ existing vendor.board_report_due	(from vendor.board_report.delivered)
vendor.breach	~ existing vendor.breach_detail	(from vendor.breach.notified)
vendor.bsa_role	~ existing vendor.bsa_role_flag	(from vendor.bsa_role.flagged)
vendor.clause_library	~ existing vendor.clause_library_version	(from vendor.clause_library.updated)
vendor.contract	~ existing vendor.contract_id	(from vendor.contract.submitted)
vendor.core_function	~ existing vendor.core_function_flag	(from vendor.core_function.flagged)
vendor.core_review	~ existing vendor.core_review_due	(from vendor.core_review.completed)
vendor.critical	~ existing vendor.critical_onboarded	(from vendor.critical.alert)
vendor.destruction	~ existing vendor.destruction_certificate	(from vendor.destruction.completed)
vendor.diligence	~ existing vendor.due_diligence_artifact_id	(from vendor.diligence.completed)
vendor.due_diligence	~ existing vendor.due_diligence_artifact_id	(from vendor.due_diligence.initiated)
vendor.edd	~ existing vendor.edd_refreshed	(from vendor.edd.approved)
vendor.exit	~ existing vendor.exit_test_due	(from vendor.exit.completed)
vendor.exit_plan	~ existing vendor.exit_plan_id	(from vendor.exit_plan.approved)
vendor.exit_test	~ existing vendor.exit_test_due	(from vendor.exit_test.completed)
vendor.incident	~ existing vendor.incident_triage_due	(from vendor.incident.logged)
vendor.inventory	~ existing vendor.inventory_reconciliation_due	(from vendor.inventory.created)
vendor.mi	~ existing vendor.mi_pack	(from vendor.mi.reviewed)
vendor.monitoring_review	~ existing vendor.monitoring_review_due	(from vendor.monitoring_review.completed)
vendor.privacy	~ existing vendor.privacy_blocked	(from vendor.privacy.approved)
vendor.program_audit	~ existing vendor.program_audit_due	(from vendor.program_audit.completed)
vendor.provisional	~ existing vendor.provisional_justification	(from vendor.provisional.flagged)
vendor.raci	~ existing vendor.raci_review_due	(from vendor.raci.assigned)
vendor.raci_review	~ existing vendor.raci_review_due	(from vendor.raci_review.completed)
vendor.reconciliation	~ existing vendor.inventory_reconciliation_due	(from vendor.reconciliation.completed)
vendor.review	~ existing vendor.annual_review_due_at	(from vendor.review.completed)
verification.alt_path	~ existing verification.alt_path_available	(from verification.alt_path.started)
verification.biometric	~ existing verification.biometric_purge_due_at	(from verification.biometric.started)
vuln.triage	~ existing vuln.triage_due_at	(from vuln.triage.completed)
web.consent	~ existing web.consent_state	(from web.consent.recorded)
web.tag	~ existing web.tag_data_scope	(from web.tag.approved)
wholesale.exposure	~ existing wholesale.exposure_history	(from wholesale.exposure.posted)
wholesale.listing	~ existing wholesale.listing_decisioned	(from wholesale.listing.requested)
wholesale.review	~ existing wholesale.monthly_review_due	(from wholesale.review.completed)
